No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
1,Kobzar Igor,Kobzar,13.04.91,198,86,315,310,3.0,,,,Zenit Kazan,Russia,M
2,Divis Lukas,Divis,20.02.86,201,95,334,334,,,,,Lokomotiv,Russia,M
3,Kovalev Dmitry,Kovalev,03.05.92,198,90,335,310,,,,,Ural,Russia,M
4,Golubev Valentin,Golubev,03.05.92,191,84,310,305,,,,,Lokomotiv,Russia,M
5,Grankin Sergey,Grankin,21.01.85,195,90,335,320,30.0,15.0,198.0,248.0,Dinamo,Russia,M
6,Kurkaev Ilyas,Kurkaev,18.01.95,207,99,355,335,,,,,Dinamo,Russia,M
7,Volkov Dmitry,Volkov D.,25.09.95,201,96,355,335,30.0,,,,Fakel,Russia,M
8,Berezhko Yury,Berezhko,27.01.84,198,93,330,310,,,118.0,118.0,Dinamo,Russia,M
9,Markin Alexander,Markin,28.04.95,198,90,335,315,,,,,Zenit Kazan,Russia,M
10,Aschev Andrey,Aschev,03.12.83,202,90,340,325,,,,,Gazprom-Yugra,Russia,M
11,Bakun Kostyantyn,Bakun,19.06.85,207,97,355,335,,,,,Belogorie,Russia,M
12,Muserskiy Dmitriy,Muserskiy,29.10.88,218,120,374,345,60.0,13.0,100.0,442.0,Belogorie,Russia,M
13,Poletaev Victor,Poletaev,08.05.95,198,93,345,330,,,,,Zenit Kazan,Russia,M
14,Verbov Alexey,Verbov,31.01.82,192,84,320,300,17.0,7.0,54.0,71.0,Zenit Kazan,Russia,M
15,Mikhaylov Maxim,Mikhaylov,19.03.88,201,97,365,340,8.0,8.0,482.0,490.0,Zenit Kazan,Russia,M
16,Volkov Alexander,Volkov A.,21.04.88,210,106,360,345,17.0,7.0,47.0,64.0,Fakel,Russia,M
17,Kliuka Egor,Kliuka,16.05.95,208,88,350,335,12.0,,,,Dinamo,Russia,M
