No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
1,Shcherban Yana,Shcherban,06.09.89,185,71,298,294,0,1,0,15,Dinamo-Moscow,Russia,F
2,Khodyunova Natalia,Khodyunova,01.07.92,185,75,305,294,0,1,0,15,Dinamo Krasnodar,Russia,F
3,Zhoha Elena,Zhoha,14.08.77,178,63,285,280,0,0,0,2,Dinamo Kazan,Russia,F
4,Zaryazhko Irina,Zaryazhko,04.10.91,195,78,310,310,0,0,0,5,Dinamo Kazan,Russia,F
5,Evtukhova Daria,Evtukhova,22.04.91,184,65,300,305,0,0,0,2,Dinamo Moscow,Russia,F
6,Malygina Daria,Malygina,06.01.94,190,78,305,306,0,0,0,5,Uralochka Ekaterinburg,Russia,F
7,Lyubushkina Ekaterina,Lyubushkina,21.02.84,184,78,306,305,4,3,0,7,Dinamo Moscow,Russia,F
8,Goncharova Nataliya,Goncharova,01.06.89,195,75,305,302,5,7,0,12,Dinamo Moscow,Russia,F
9,Yetrova Vera,Yetrova,05.08.87,180,69,288,280,1,2,0,3,Dinamo Moscow,Russia,F
10,Kosianenko Ekaterina,Kosianenko,21.08.96,178,66,305,305,3,2,0,6,Uralochka Ekaterinburg,Russia,F
11,Ulanova Ekaterina,Ulanova,18.12.86,182,68,290,285,3,2,0,5,Dinamo Kazan,Russia,F
12,Babeshina Irina,Babeshina,17.01.84,185,72,290,285,1,2,0,3,Dinamo Kazan,Russia,F
13,Startseva Evgeniya,Startseva,12.02.90,185,75,307,308,2,3,0,6,Dinamo Krasnodar,Russia,F
14,Fetisova Irina,Fetisova,07.09.94,188,78,308,308,2,3,0,5,Dinamo Krasnodar,Russia,F
15,Kosheleva Tatiana,Kosheleva,23.10.92,191,78,308,308,5,6,0,11,Dinamo Moscow,Russia,F
16,Voronkova Irina,Voronkova,03.12.95,190,81,305,302,3,2,0,5,Dinamo Moscow,Russia,F
17,Malykh Natalia,Malykh,08.01.93,187,78,307,307,4,2,0,6,Uralochka Ekaterinburg,Russia,F
18,Ilchenko Ksenia,Ilchenko,03.11.94,182,68,285,283,1,0,0,2,Dinamo Kazan,Russia,F
19,Malova Anna,Malova,16.09.91,165,58,280,275,0,1,0,1,Dinamo Moscow,Russia,F
20,Shlyakhovaya Anastasia,Shlyakhovaya,24.10.83,188,80,298,300,2,2,0,4,Dinamo Moscow,Russia,F
