No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
1,Busa Bianka,Busa,25.07.94,187,78,282,280,2,0,0,28,CSM Targoviste (ROU),Serbia,F
2,Brakocevic Jovana,Brakocevic,05.08.88,196,87,305,295,8,0,0,14,VakifBank Istanbul (TUR),Serbia,F
3,Malagurski Sanja,Malagurski,06.06.90,190,80,303,295,8,0,0,8,Trabzon Idmanocagi (TUR),Serbia,F
4,Zivkovic Bojana,Zivkovic,29.03.88,190,80,290,282,8,0,0,8,Volero Zurich (SUI),Serbia,F
5,Popovic Mina,Popovic,18.09.91,193,81,295,290,4,0,0,4,Igor Gorgonzola Novara (ITA),Serbia,F
6,Malesevic Tijana,Malesevic,15.10.94,185,70,295,288,3,0,0,3,CSM Targoviste (ROU),Serbia,F
7,Mihajlovic Brankica,Mihajlovic,10.04.91,189,78,306,300,12,0,0,12,Eczacibasi Istanbul (TUR),Serbia,F
8,Radenkovic Danica,Radenkovic,09.10.93,190,74,292,285,7,0,0,7,Igor Gorgonzola Novara (ITA),Serbia,F
9,Malesevic Branica,Malesevic,10.08.91,180,75,290,280,4,0,0,4,Dinamo Pancevo (SRB),Serbia,F
10,Ognjenovic Maja,Ognjenovic,06.08.84,193,75,306,292,15,8,0,23,Dinamo Krasnodar (RUS),Serbia,F
11,Veljkovic Stefana,Veljkovic,09.01.90,190,80,304,293,14,7,0,21,Bursa BSB (TUR),Serbia,F
12,Nikolic Jelena,Nikolic,15.04.87,185,74,302,295,10,3,0,13,Bursa Buyuksehir (TUR),Serbia,F
13,Mirkovic Slađana,Mirkovic,10.08.95,180,65,288,275,2,0,0,2,Dinamo Pancevo (SRB),Serbia,F
14,Savic Maja,Savic,04.08.85,188,74,300,292,3,0,0,3,Zarechie Odintsovo (RUS),Serbia,F
15,Stevanovic Jovana,Stevanovic,30.09.92,192,83,312,310,6,0,0,6,Uralochka-NTMK (RUS),Serbia,F
16,Rasic Milena,Rasic,25.11.90,193,86,310,307,10,5,0,15,CSM Targoviste (ROU),Serbia,F
17,Cebic Suzana,Cebic,15.03.84,172,65,280,275,10,5,0,15,CSM Targoviste (ROU),Serbia,F
18,Boskovic Tijana,Boskovic,08.08.97,192,82,322,312,8,7,0,8,Eczacibasi Istanbul (TUR),Serbia,F
