No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
1,Anderson Matthew,Anderson,18.04.87,202,100,360,332,6.0,,160.0,182.0,Zenit Kazan,USA,M
2,Russell Aaron,Russell,04.06.93,205,95,356,336,3.0,,85.0,88.0,Sir Safety Conad Perugia,USA,M
3,Sander Taylor,Sander,17.03.92,196,93,336,327,6.0,,155.0,177.0,BluVolley Verona,USA,M
4,Lee David,Lee,08.03.82,202,98,345,336,7.0,,152.0,182.0,Paok Thessaloniki,USA,M
5,Shaw James,Shaw,05.03.94,202,100,336,325,,,,,Stanford University,USA,M
6,Lotman Paul,Lotman,23.11.85,201,95,340,326,7.0,10.0,152.0,169.0,SCC Berlin,USA,M
7,Shoji Kawika,K. Shoji,11.11.87,190,85,315,300,7.0,10.0,152.0,169.0,Arkas Spor,USA,M
8,Priddy William Reid,Priddy,01.10.77,194,94,345,330,,16.0,209.0,225.0,A.S. Volley Lube SRL,USA,M
9,Troy Murphy,Troy,31.05.92,202,94,350,310,,,,,Trefl Gdansk S.A.,USA,M
10,Jaesckhe Thomas,Jaeckhe,04.02.93,203,95,335,325,,,,,Asseco Resovia S.A.,USA,M
11,Christenson Micah,Christenson,08.05.93,198,88,340,323,5.0,16.0,98.0,119.0,A.S. Volley Lube,USA,M
12,Holmes Russell,Holmes,01.07.82,205,95,355,330,9.0,16.0,97.0,152.0,Asseco Resovia S.A.,USA,M
13,Mcdonnell Daniel,Mcdonnell,15.09.88,204,93,340,325,,,,,National Team,USA,M
15,Clark Carson,Clark,20.01.97,202,87,325,320,,,,,National Team,USA,M
17,Holt Maxwell,Holt,12.03.87,205,102,355,335,25.0,10.0,239.0,274.0,Dinamo Moscow,USA,M
18,Muagututia Garrett,Muagututia,26.05.88,193,93,335,320,7.0,10.0,172.0,189.0,Tianjin Men's Volleyball Club,USA,M
19,Seif Jonah,Seif,30.10.94,203,95,335,322,,,,,Univ. of Calif.-Santa Barbara,USA,M
20,Smith David,Smith,15.05.85,202,93,330,320,9.0,9.0,103.0,171.0,Tours Volley Ball,USA,M
21,Watten Dustin,Watten,27.10.86,185,80,315,305,40.0,40.0,40.0,80.0,Nancy Volley M.I.,USA,M
22,Shoji Erik,E. Shoji,24.08.89,184,83,315,304,0.0,0.0,111.0,111.0,SCC Berlin,USA,M
