No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
1,Glass Alisha,Glass,05.04.88,184,70,300,294,24,4,143,167,Imoco Volley,USA,F
2,Banwarth Kayla,Banwarth,21.01.89,178,70,290,282,16,2,120,138,National Team,USA,F
3,Thompson Courtney,Thompson,11.01.84,170,70,285,273,8,2,108,118,Rio de Janeiro Volei Clube,USA,F
4,Paolini Lauren,Paolini,22.12.86,191,79,303,298,16,2,102,120,Hitachi Automotive Systems,USA,F
5,Adams Rachael,Adams,03.06.90,185,79,305,298,14,4,96,114,VBC Pallavolo Rosa,USA,F
6,Lloyd Cari,Lloyd,06.08.89,180,73,303,297,18,4,89,111,Eczacibasi Vitra Istanbul,USA,F
7,Larson-Burbach Jordan,Larson,16.10.86,188,75,306,300,20,4,84,108,Eczacibasi Vitra Istanbul,USA,F
8,Easy Megan,Easy,08.02.91,191,75,298,290,12,4,78,94,Ageo Medics,USA,F
9,Murphy Kelly,Murphy,20.10.89,188,78,305,298,14,4,76,94,Ageo Medics,USA,F
10,Dietzen Christa Harmotto,Dietzen,12.04.87,188,78,305,297,18,4,75,97,Fenerbahce SK,USA,F
11,Fawcett Nicole,Fawcett,16.12.86,190,72,300,294,12,4,74,90,Agil Volley SSD ARL,USA,F
12,Hill Kimberly,Hill,30.11.89,193,72,308,299,12,4,72,88,VakifBank Istanbul,USA,F
13,Akinradewo Foluke,Akinradewo,05.10.87,190,75,310,305,20,8,71,105,Volero Zurich,USA,F
14,Hagglund Natalie,N. Hagglund,18.01.92,170,70,285,273,10,4,70,84,Volero Zurich,USA,F
15,Kreklow Molly,Kreklow,17.02.92,184,70,290,280,8,4,69,81,Eczacibasi Vitra Istanbul,USA,F
16,Bartsch Michelle,Bartsch,12.06.91,191,72,305,298,12,4,67,83,Dresdner SC 1898,USA,F
17,Crimes Alexis,Crimes,06.06.86,190,79,315,307,14,4,66,84,Sariyer Belediye Spor Kulubu,USA,F
18,Robinson Kelsey,Robinson,30.03.92,185,72,300,294,10,4,65,79,Imoco Volley,USA,F
